index,gps_code,coordinates,longitude,latitude
970,SDDV,"-48.84469985961914, -21.12689971923828",-48.84469985961914,-21.12689971923828
971,SDDX,"-50.51416778564453, -19.8880558013916",-50.51416778564453,-19.8880558013916
972,SDDY,"-46.367778, -23.823611",-46.367778,-23.823611
973,SDDZ,"-51.332565, -22.696742",-51.332565,-22.696742
974,SDEA,"-46.68388748168945, -23.58305549621582",-46.68388748168945,-23.58305549621582
975,SDED,"-47.701667785645, -22.440277099609",-47.701667785645,-22.440277099609
976,SDKR,"-47.32624, -22.379294",-47.32624,-22.379294
977,SDEI,"-46.844429, -23.503365",-46.844429,-23.503365
978,SDEJ,"-48.073612213134766, -23.66583251953125",-48.073612213134766,-23.66583251953125
979,SDEK,"-45.746944427490234, -23.73583221435547",-45.746944427490234,-23.73583221435547
980,SDEL,"-46.55472183227539, -23.600278854370117",-46.55472183227539,-23.600278854370117
981,SDEM,"-51.45166778564453, -22.101110458374023",-51.45166778564453,-22.101110458374023
982,SDEN,"-48.6218, -27.1665",-48.6218,-27.1665
983,SDEO,"-48.659400939899996, -21.878599166900003",-48.659400939899996,-21.878599166900003
984,SDEP,"-52.143281, -21.774665",-52.143281,-21.774665
985,SDEQ,"-46.60333251953125, -23.533056259155273",-46.60333251953125,-23.533056259155273
986,SDER,"-50.8569450378418, -20.764999389648438",-50.8569450378418,-20.764999389648438
987,SDES,"-47.862237, -20.761969",-47.862237,-20.761969
988,SDET,"-47.72444534301758, -23.104721069335938",-47.72444534301758,-23.104721069335938
989,SDEU,"-46.831668853759766, -23.384721755981445",-46.831668853759766,-23.384721755981445
990,SDEV,"-46.622779846191406, -23.49972152709961",-46.622779846191406,-23.49972152709961
991,SDEW,"-46.229307, -23.541878",-46.229307,-23.541878
992,SDEX,"-45.8261, -12.5811",-45.8261,-12.5811
993,SDEY,"-46.60527801513672, -23.688888549804688",-46.60527801513672,-23.688888549804688
994,SDEZ,"-46.698890686035156, -23.572500228881836",-46.698890686035156,-23.572500228881836
995,SIBC,"-51.0308, -20.676399",-51.0308,-20.676399
996,SDFB,"-48.562077, -20.428899",-48.562077,-20.428899
997,SDFC,"-49.1880989074707, -20.48859977722168",-49.1880989074707,-20.48859977722168
998,SDFD,"-50.215599060059, -20.276599884033",-50.215599060059,-20.276599884033
999,SDFG,"-44.46555709838867, -22.658889770507812",-44.46555709838867,-22.658889770507812
1000,SDFH,"-47.37089920043945, -21.444000244140625",-47.37089920043945,-21.444000244140625
1001,SDFJ,"-47.76002, -22.95156",-47.76002,-22.95156
1002,SDFK,"-52.15888977050781, -22.068889617919922",-52.15888977050781,-22.068889617919922
1003,SWAL,"-48.282217, -23.580552",-48.282217,-23.580552
1004,SDFM,"-52.25583267211914, -22.288888931274414",-52.25583267211914,-22.288888931274414
1005,SNSF,"-49.543887, -23.475",-49.543887,-23.475
1006,SDFO,"-46.860000610352, -23.46555519104",-46.860000610352,-23.46555519104
1007,SDFP,"-46.64583206176758, -23.537778854370117",-46.64583206176758,-23.537778854370117
1008,SDFQ,"-43.182621, -22.94429",-43.182621,-22.94429
1009,SDFR,"-38.473532, -3.741244",-38.473532,-3.741244
1010,SDFS,"-48.34694290161133, -22.092222213745117",-48.34694290161133,-22.092222213745117
1011,SDFT,"-46.80888748168945, -22.414443969726562",-46.80888748168945,-22.414443969726562
1012,SDFU,"-52.163055419921875, -21.870555877685547",-52.163055419921875,-21.870555877685547
1013,SDFV,"-46.66722106933594, -23.52166748046875",-46.66722106933594,-23.52166748046875
1014,SDFW,"-46.68777847290039, -23.57666778564453",-46.68777847290039,-23.57666778564453
1015,SDFX,"-40.93769836425781, -9.157090187072754",-40.93769836425781,-9.157090187072754
1016,SDGB,"-48.18194580078125, -20.27694320678711",-48.18194580078125,-20.27694320678711
1017,SDGC,"-49.65610122680664, -22.1835994720459",-49.65610122680664,-22.1835994720459
1018,SDGD,"-48.56833267211914, -22.99416732788086",-48.56833267211914,-22.99416732788086
1019,SDGE,"-46.5707, -23.61094",-46.5707,-23.61094
1020,SDGG,"-46.69423, -23.561143",-46.69423,-23.561143
1021,SDGH,"-48.5927, -20.51105",-48.5927,-20.51105
1022,SDGI,"-46.906944274902344, -22.92277717590332",-46.906944274902344,-22.92277717590332
1023,SDGL,"-44.2761116027832, -22.878889083862305",-44.2761116027832,-22.878889083862305
1024,SDGN,"-34.904154, -8.131765",-34.904154,-8.131765
1025,SDGO,"-46.485454, -23.454179",-46.485454,-23.454179
1026,SDGQ,"-46.65583419799805, -23.56277847290039",-46.65583419799805,-23.56277847290039
1027,SDGR,"-50.65305709838867, -21.2630558013916",-50.65305709838867,-21.2630558013916
1028,SDGS,"-46.68027877807617, -23.585556030273438",-46.68027877807617,-23.585556030273438
1029,SDGT,"-50.045832, -22.525001",-50.045832,-22.525001
1030,SDGU,"-48.3033332824707, -21.404443740844727",-48.3033332824707,-21.404443740844727
1031,SDGV,"-46.83250045776367, -23.599443435668945",-46.83250045776367,-23.599443435668945
1032,SDGW,"-46.674720764160156, -23.586666107177734",-46.674720764160156,-23.586666107177734
1033,SDGX,"-46.70777893066406, -23.626943588256836",-46.70777893066406,-23.626943588256836
1034,SDGY,"-50.7433319092, -20.9274997711",-50.7433319092,-20.9274997711
1035,SDGZ,"-46.772220611572266, -23.54888916015625",-46.772220611572266,-23.54888916015625
1036,SDHA,"-46.644168853759766, -23.51333236694336",-46.644168853759766,-23.51333236694336
1037,SDHB,"-46.768333435058594, -23.54805564880371",-46.768333435058594,-23.54805564880371
1038,SDHC,"-49.98027801513672, -21.871944427490234",-49.98027801513672,-21.871944427490234
1039,SDHD,"-43.1158332824707, -22.89444351196289",-43.1158332824707,-22.89444351196289
1040,SDHE,"-46.84361267089844, -22.49250030517578",-46.84361267089844,-22.49250030517578
1041,SDHF,"-46.75223, -21.966607",-46.75223,-21.966607
1042,SDHG,"-46.77805709838867, -23.481666564941406",-46.77805709838867,-23.481666564941406
1043,SDHH,"-47.15805435180664, -22.75749969482422",-47.15805435180664,-22.75749969482422
1044,SDHI,"-46.651668548583984, -23.594999313354492",-46.651668548583984,-23.594999313354492
1045,SDHK,"-46.5078, -23.663",-46.5078,-23.663
1046,SDHL,"-43.217918395996094, -22.975635528564453",-43.217918395996094,-22.975635528564453
1047,SDHM,"-46.745277404785156, -23.595277786254883",-46.745277404785156,-23.595277786254883
1048,SDTN,"-46.696945, -23.608054",-46.696945,-23.608054
1049,SDHO,"-46.52876, -23.65549",-46.52876,-23.65549
1050,SDHP,"-53.283775, -21.162035",-53.283775,-21.162035
1051,SDHQ,"-46.504722595214844, -23.5674991607666",-46.504722595214844,-23.5674991607666
1052,SDHR,"-57.229258, -20.905209",-57.229258,-20.905209
1053,SDHT,"-46.657501220703125, -23.558055877685547",-46.657501220703125,-23.558055877685547
1054,SDHU,"-43.16583251953125, -22.95166778564453",-43.16583251953125,-22.95166778564453
1055,SDHV,"-46.71500015258789, -23.600278854370117",-46.71500015258789,-23.600278854370117
1056,SDHW,"-46.63444519042969, -23.607221603393555",-46.63444519042969,-23.607221603393555
1057,SDHX,"-51.53543, -30.75022",-51.53543,-30.75022
1058,SDHY,"-46.6613, -23.5567",-46.6613,-23.5567
1059,SDHZ,"-47.067779541015625, -22.90416717529297",-47.067779541015625,-22.90416717529297
1060,SDIA,"-46.629722595214844, -23.545833587646484",-46.629722595214844,-23.545833587646484
1061,SDIB,"-46.775299072265625, -22.158100128173828",-46.775299072265625,-22.158100128173828
1062,SDIC,"-45.689852, -20.71255",-45.689852,-20.71255
1063,SDID,"-49.32833480834961, -24.135278701782227",-49.32833480834961,-24.135278701782227
1064,SDIE,"-46.87917, -23.58944",-46.87917,-23.58944
1065,SDIF,"-43.951565, -19.78655",-43.951565,-19.78655
1066,SDIG,"-48.8557014465332, -21.747299194335938",-48.8557014465332,-21.747299194335938
1067,SDIH,"-46.06944274902344, -23.565555572509766",-46.06944274902344,-23.565555572509766
1068,SDII,"-46.8492, -23.5045",-46.8492,-23.5045
1069,SDIK,"-47.0353, -22.8196",-47.0353,-22.8196
1070,SDIL,"-44.28900146484375, -22.903400421142578",-44.28900146484375,-22.903400421142578
1071,SDIM,"-46.78555679321289, -24.164722442626953",-46.78555679321289,-24.164722442626953
1072,SDIO,"-48.83277893066406, -21.599721908569336",-48.83277893066406,-21.599721908569336
1073,SDIP,"-45.77555465698242, -23.043333053588867",-45.77555465698242,-23.043333053588867
1074,SDIQ,"-44.194999694799996, -23.0480556488",-44.194999694799996,-23.0480556488
1075,SDIS,"-49.02944564819336, -23.247499465942383",-49.02944564819336,-23.247499465942383
1076,SDIT,"-46.65805435180664, -23.57666778564453",-46.65805435180664,-23.57666778564453
1077,SDIV,"-47.768699645996094, -20.375499725341797",-47.768699645996094,-20.375499725341797
1078,SDIW,"-46.68888854980469, -23.593889236450195",-46.68888854980469,-23.593889236450195
1079,SJNN,"-46.172066, -23.888478",-46.172066,-23.888478
1080,SDIY,"-46.561668395996094, -23.698888778686523",-46.561668395996094,-23.698888778686523
1081,SDJA,"-47.86167, -22.19472",-47.86167,-22.19472
1082,SDJB,"-46.7, -22.973056",-46.7,-22.973056
1083,SDJC,"-48.284698486328125, -21.229999542236328",-48.284698486328125,-21.229999542236328
1084,SDJD,"-45.712191, -23.760268",-45.712191,-23.760268
1085,SDJE,"-45.8250007629, -23.345832824699997",-45.8250007629,-23.345832824699997
1086,SDJF,"-48.448055267333984, -23.845277786254883",-48.448055267333984,-23.845277786254883
1087,SDJG,"-49.483333587646484, -22.733333587646484",-49.483333587646484,-22.733333587646484
1088,SDJH,"-38.43556, -12.9625",-38.43556,-12.9625
1089,SDJI,"-45.817222595214844, -23.32638931274414",-45.817222595214844,-23.32638931274414
1090,SDJJ,"-46.68805694580078, -23.593332290649414",-46.68805694580078,-23.593332290649414
1091,SDJK,"-46.8409, -23.5023",-46.8409,-23.5023
1092,SDJL,"-50.5463981628418, -20.292999267578125",-50.5463981628418,-20.292999267578125
1093,SDJM,"-46.9283332824707, -23.13249969482422",-46.9283332824707,-23.13249969482422
1094,SDJN,"-47.75055694580078, -21.100555419921875",-47.75055694580078,-21.100555419921875
1095,SDJO,"-47.842201232910156, -20.593299865722656",-47.842201232910156,-20.593299865722656
1096,SDJP,"-43.464406, -22.745286",-43.464406,-22.745286
1097,SDJQ,"-51.007999420166016, -20.828399658203125",-51.007999420166016,-20.828399658203125
1098,SDJR,"-49.39250183105469, -20.88249969482422",-49.39250183105469,-20.88249969482422
1099,SDJS,"-60.241667, 4.727222",-60.241667,4.727222
1100,SDJT,"-46.90833282470703, -23.17472267150879",-46.90833282470703,-23.17472267150879
1101,SDJU,"-46.67277908325195, -23.59027862548828",-46.67277908325195,-23.59027862548828
1102,SDJV,"-46.8408317565918, -22.017221450805664",-46.8408317565918,-22.017221450805664
1103,SDJW,"-46.70359, -23.591053",-46.70359,-23.591053
1104,SDJX,"-48.382523, -13.105634",-48.382523,-13.105634
1105,SDJY,"-46.64611053466797, -23.57111167907715",-46.64611053466797,-23.57111167907715
1106,SDJZ,"-48.221900939941406, -20.808300018310547",-48.221900939941406,-20.808300018310547
1107,SDKA,"-59.835001, 4.164573",-59.835001,4.164573
1108,SSCB,"-47.055557, -21.788055",-47.055557,-21.788055
1109,SDKC,"-49.462223052978516, -22.303611755371094",-49.462223052978516,-22.303611755371094
1110,SDKD,"-46.70305633544922, -23.61833381652832",-46.70305633544922,-23.61833381652832
1111,SDKE,"-44.46444320678711, -13.7772216796875",-44.46444320678711,-13.7772216796875
1112,SDKF,"-40.0914001465, -9.155540466309999",-40.0914001465,-9.155540466309999
1113,SSQK,"-49.179169, -23.225",-49.179169,-23.225
1114,SDKI,"-45.906944274902344, -23.224443435668945",-45.906944274902344,-23.224443435668945
1115,SDKJ,"-45.18669891357422, -11.021599769592285",-45.18669891357422,-11.021599769592285
1116,SDKK,"-47.034400939941406, -21.48780059814453",-47.034400939941406,-21.48780059814453
1117,SDKL,"-59.777179, 3.835853",-59.777179,3.835853
1118,SDKM,"-46.665279388427734, -23.565832138061523",-46.665279388427734,-23.565832138061523
1119,SDKN,"-48.405555725097656, -22.43805694580078",-48.405555725097656,-22.43805694580078
1120,SDKO,"-48.78860092163086, -20.257699966430664",-48.78860092163086,-20.257699966430664
1121,SDKP,"-50.27888870239258, -22.189722061157227",-50.27888870239258,-22.189722061157227
1122,SDKQ,"-49.06666564941406, -20.21666717529297",-49.06666564941406,-20.21666717529297
1123,SDKR,"-59.171112060546875, -15.175000190734863",-59.171112060546875,-15.175000190734863
1124,SDKS,"-43.177223205566406, -22.91805648803711",-43.177223205566406,-22.91805648803711
1125,SDKT,"-46.68388748168945, -23.568056106567383",-46.68388748168945,-23.568056106567383
1126,SDKU,"-47.185279846191406, -23.060832977294922",-47.185279846191406,-23.060832977294922
1127,SDKV,"-46.696819, -23.6148",-46.696819,-23.6148
1128,SDBD,"-55.536944, -12.295278",-55.536944,-12.295278
1129,SDKX,"-52.411225, -11.513307",-52.411225,-11.513307
1130,SDKY,"-46.668888092041016, -23.557777404785156",-46.668888092041016,-23.557777404785156
1131,SDKZ,"-60.470043, 4.557947",-60.470043,4.557947
1132,SDLA,"-44.66083145139999, -23.344167709399997",-44.66083145139999,-23.344167709399997
1133,SDLB,"-46.682498931884766, -23.580833435058594",-46.682498931884766,-23.580833435058594
1134,SDLC,"-51.0182991027832, -21.749399185180664",-51.0182991027832,-21.749399185180664
1135,SIKG,"-48.642858, -24.198151",-48.642858,-24.198151
1136,SDLE,"-41.78916549682617, -13.587499618530273",-41.78916549682617,-13.587499618530273
1137,SDLF,"-46.77750015258789, -23.476667404174805",-46.77750015258789,-23.476667404174805
1138,SDLG,"-41.06944274902344, -10.974444389343262",-41.06944274902344,-10.974444389343262
1139,SDLH,"-38.7841682434082, -11.044166564941406",-38.7841682434082,-11.044166564941406
1140,SDLI,"-39.115398, -8.73699",-39.115398,-8.73699
1141,SDLJ,"-50.5797004699707, -6.0477800369262695",-50.5797004699707,-6.0477800369262695
1142,SDLK,"-42.26470184326172, -14.481200218200684",-42.26470184326172,-14.481200218200684
1143,SDLL,"-47.382198333740234, -22.226900100708008",-47.382198333740234,-22.226900100708008
1144,SDLM,"-48.0442008972168, -20.5049991607666",-48.0442008972168,-20.5049991607666
1145,SDLN,"-42.025385, -22.600385",-42.025385,-22.600385
1146,SDLO,"-38.939998626708984, -13.564800262451172",-38.939998626708984,-13.564800262451172
1147,SDLP,"-48.774600982666016, -22.578399658203125",-48.774600982666016,-22.578399658203125
1148,SDLQ,"-50.77805709838867, -21.503610610961914",-50.77805709838867,-21.503610610961914
1149,SDLR,"-50.1422233581543, -20.467222213745117",-50.1422233581543,-20.467222213745117
1150,SDLS,"-45.96666717529297, -23.414167404174805",-45.96666717529297,-23.414167404174805
1151,SDLT,"-50.373600006103516, -22.199399948120117",-50.373600006103516,-22.199399948120117
1152,SDLU,"-48.52450180053711, -22.48310089111328",-48.52450180053711,-22.48310089111328
1153,SDLV,"-51.35194396972656, -22.920833587646484",-51.35194396972656,-22.920833587646484
1154,SDLW,"-57.78111267089844, -13.446944236755371",-57.78111267089844,-13.446944236755371
1155,SDLX,"-52.2047233581543, -11.441110610961914",-52.2047233581543,-11.441110610961914
1156,SDLY,"-48.352500915527344, -21.62310028076172",-48.352500915527344,-21.62310028076172
1157,SDMA,"-45.60166549682617, -22.954166412353516",-45.60166549682617,-22.954166412353516
1158,SDMB,"-47.11944580078125, -23.001110076904297",-47.11944580078125,-23.001110076904297
1159,SBMI,"-42.830898, -22.9195",-42.830898,-22.9195
1160,SDMD,"-54.6958333333, -18",-54.6958333333,-18.0
1161,SDME,"-48.39289855957031, -21.630599975585938",-48.39289855957031,-21.630599975585938
1162,SDLQ,"-45.572213, -23.786737",-45.572213,-23.786737
1163,SDMG,"-63.74692, 2.675404",-63.74692,2.675404
1164,SDMH,"-49.48609924316406, -20.807199478149414",-49.48609924316406,-20.807199478149414
1165,SDMI,"-46.6466674805, -23.594167709399997",-46.6466674805,-23.594167709399997
1166,SDMJ,"-46.90530014038086, -22.40999984741211",-46.90530014038086,-22.40999984741211
1167,SDMK,"-53.558751, -21.552032",-53.558751,-21.552032
1168,SDML,"-45.25279998779297, -25.26689910888672",-45.25279998779297,-25.26689910888672
1169,SDMM,"-60.786111, 4.557778",-60.786111,4.557778
1170,SDMN,"-48.426109313964844, -23.916667938232422",-48.426109313964844,-23.916667938232422
1171,SDMO,"-48.523607254, -21.2589812941",-48.523607254,-21.2589812941
1172,SIKC,"-46.596746, -23.299177",-46.596746,-23.299177
1173,SDMQ,"-57.8991666667, -21.8480555556",-57.8991666667,-21.8480555556
1174,SDMR,"-43.879722595214844, -23.066389083862305",-43.879722595214844,-23.066389083862305
1175,SDMS,"-44.280555725097656, -23.01555633544922",-44.280555725097656,-23.01555633544922
1176,SDMT,"-46.654998779296875, -23.56222152709961",-46.654998779296875,-23.56222152709961
1177,SDMU,"-43.17555618286133, -22.90944480895996",-43.17555618286133,-22.90944480895996
1178,SDMV,"-48.60449981689453, -22.27720069885254",-48.60449981689453,-22.27720069885254
1179,SDMW,"-50.6808333333, -14.1125",-50.6808333333,-14.1125
1180,SDMX,"-55.379166666699994, -15.5",-55.379166666699994,-15.5
1181,SDMY,"-48.47909927368164, -21.63290023803711",-48.47909927368164,-21.63290023803711
1182,SDMZ,"-46.579444885253906, -23.663333892822266",-46.579444885253906,-23.663333892822266
1183,SDNA,"-48.994722, -19.671944",-48.994722,-19.671944
1184,SDNB,"-46.298057556152344, -23.99944305419922",-46.298057556152344,-23.99944305419922
1185,SDND,"-51.530277252197266, -22.482778549194336",-51.530277252197266,-22.482778549194336
1186,SDNE,"-51.973609924316406, -22.199443817138672",-51.973609924316406,-22.199443817138672
1187,SDNF,"-48.258331298828125, -18.903888702392578",-48.258331298828125,-18.903888702392578
1188,SDNG,"-56.95277786254883, -13.100000381469727",-56.95277786254883,-13.100000381469727
1189,SDNH,"-49.23440170288086, -21.497800827026367",-49.23440170288086,-21.497800827026367
1190,SDNI,"-46.983612060546875, -23.619722366333008",-46.983612060546875,-23.619722366333008
1191,SDNJ,"-48.22472381591797, -24.074722290039062",-48.22472381591797,-24.074722290039062
1192,SDNK,"-54.05083465576172, -14.96500015258789",-54.05083465576172,-14.96500015258789
1193,SDNM,"-43.128334045410156, -22.447500228881836",-43.128334045410156,-22.447500228881836
1194,SDNN,"-46.70083236694336, -23.565832138061523",-46.70083236694336,-23.565832138061523
1195,SDNO,"-48.57659912109375, -22.69580078125",-48.57659912109375,-22.69580078125
1196,SDNP,"-46.6374, -23.547432",-46.6374,-23.547432
1197,SDNQ,"-67.486667, -9.9703",-67.486667,-9.9703
1198,SDNR,"-46.7136116027832, -23.651111602783203",-46.7136116027832,-23.651111602783203
1199,SDNS,"-43.13055419921875, -22.462499618530273",-43.13055419921875,-22.462499618530273
1200,SDNT,"-48.256667, -10.414444",-48.256667,-10.414444
1201,SDNU,"-43.173057556152344, -22.906389236450195",-43.173057556152344,-22.906389236450195
1202,SDNV,"-54.011944, -9.503889",-54.011944,-9.503889
1203,SDNW,"-53.071667, -10.788333",-53.071667,-10.788333
1204,SSEI,"-44.21046, -23.04298",-44.21046,-23.04298
1205,SDNY,"-43.46030044555664, -22.74530029296875",-43.46030044555664,-22.74530029296875
1206,SDNZ,"-54.768890380859375, -17.844999313354492",-54.768890380859375,-17.844999313354492
1207,SDOA,"-45.4886111111, -5.488611111110001",-45.4886111111,-5.488611111110001
1208,SDOB,"-46.75429916381836, -21.425199508666992",-46.75429916381836,-21.425199508666992
1209,SDOC,"-46.6430549621582, -23.573055267333984",-46.6430549621582,-23.573055267333984
1210,SDOD,"-45.5419444444, -5.84",-45.5419444444,-5.84
1211,SDOE,"-45.7913888889, -5.72222222222",-45.7913888889,-5.72222222222
1212,SDKS,"-35.007221, -8.549722",-35.007221,-8.549722
1213,SDOG,"-46.20305633544922, -23.996944427490234",-46.20305633544922,-23.996944427490234
1214,SDOH,"-45.94138717651367, -22.265832901000977",-45.94138717651367,-22.265832901000977
1215,SDOI,"-47.69194412231445, -23.29805564880371",-47.69194412231445,-23.29805564880371
1216,SDOJ,"-47.134075, -22.898253",-47.134075,-22.898253
1217,SDOK,"-46.864723205566406, -23.237499237060547",-46.864723205566406,-23.237499237060547
1218,SDOL,"-56.406944, -12.441389",-56.406944,-12.441389
1219,SDOM,"-46.7768, -23.5366",-46.7768,-23.5366
1220,SDON,"-46.7216682434082, -23.551666259765625",-46.7216682434082,-23.551666259765625
1221,SDOO,"-49.269776, -16.696854",-49.269776,-16.696854
1222,SDOP,"-47.189998626708984, -22.89555549621582",-47.189998626708984,-22.89555549621582
1223,SDOQ,"-51.739294, -12.674353",-51.739294,-12.674353
1224,SDOR,"-47.88972091674805, -20.747222900390625",-47.88972091674805,-20.747222900390625
1225,SDOS,"-46.167198181152344, -23.909400939941406",-46.167198181152344,-23.909400939941406
1226,SDOT,"-46.69388961791992, -23.59861183166504",-46.69388961791992,-23.59861183166504
1227,SDOU,"-49.913299560546875, -22.96649932861328",-49.913299560546875,-22.96649932861328
1228,SDOV,"-50.5640983581543, -14.770400047302246",-50.5640983581543,-14.770400047302246
1229,SDOW,"-51.0499000549, -6.763100147250001",-51.0499000549,-6.763100147250001
1230,SDOY,"-45.99861145019531, -23.21388816833496",-45.99861145019531,-23.21388816833496
1231,SDOZ,"-58.284444, -8.100833",-58.284444,-8.100833
1232,SDPA,"-44.08000183105469, -22.927499771118164",-44.08000183105469,-22.927499771118164
1233,SDOH,"-46.425712, -23.350821",-46.425712,-23.350821
1234,SDPC,"-51.02861, -22.15278",-51.02861,-22.15278
1235,SDPD,"-45.43138885498047, -22.94361114501953",-45.43138885498047,-22.94361114501953
1236,SDPE,"-47.42555618286133, -23.412778854370117",-47.42555618286133,-23.412778854370117
1237,SDPF,"-47.473899841308594, -21.87420082092285",-47.473899841308594,-21.87420082092285
1238,SDPG,"-51.40611267089844, -21.054443359375",-51.40611267089844,-21.054443359375
1239,SDPH,"-46.65277862548828, -23.538610458374023",-46.65277862548828,-23.538610458374023
1240,SDPI,"-60.244722, 4.687776",-60.244722,4.687776
1241,SDPK,"-46.49444580078125, -23.52777862548828",-46.49444580078125,-23.52777862548828
1242,SDPL,"-46.649723052978516, -23.592777252197266",-46.649723052978516,-23.592777252197266
1243,SDPM,"-46.71305465698242, -23.600555419921875",-46.71305465698242,-23.600555419921875
1244,SDPN,"-50.033599853515625, -21.40999984741211",-50.033599853515625,-21.40999984741211
1245,SDPO,"-46.86000061035156, -23.60527801513672",-46.86000061035156,-23.60527801513672
1246,SDPP,"-48.81439971923828, -23.292999267578125",-48.81439971923828,-23.292999267578125
1247,SDPQ,"-60.025297, 3.907802",-60.025297,3.907802
1248,SDPR,"-47.149723052978516, -22.942777633666992",-47.149723052978516,-22.942777633666992
1249,SDPS,"-46.279998779296875, -23.356388092041016",-46.279998779296875,-23.356388092041016
1250,SDPT,"-46.65888977050781, -23.559722900390625",-46.65888977050781,-23.559722900390625
1251,SDPU,"-43.11305618286133, -22.767221450805664",-43.11305618286133,-22.767221450805664
1252,SDPV,"-51.8843994140625, -21.893299102783203",-51.8843994140625,-21.893299102783203
1253,SDPW,"-47.61819839477539, -22.71150016784668",-47.61819839477539,-22.71150016784668
1254,SDPX,"-60.941667, 4.498889",-60.941667,4.498889
1255,SDPY,"-47.4194450378418, -22.02638816833496",-47.4194450378418,-22.02638816833496
1256,SDPZ,"-53.351389, -21.24112",-53.351389,-21.24112
1257,SSBH,"-46.692229, -23.601099",-46.692229,-23.601099
1258,SDQC,"-46.61249923706055, -23.563888549804688",-46.61249923706055,-23.563888549804688
1259,SDQD,"-43.1966667175293, -22.96527862548828",-43.1966667175293,-22.96527862548828
1260,SDQE,"-55.636112213134766, -22.56944465637207",-55.636112213134766,-22.56944465637207
1261,SDQF,"-46.83, -23.7",-46.83,-23.7
1262,SDQG,"-51.1863899230957, -21.898889541625977",-51.1863899230957,-21.898889541625977
1263,SDQH,"-50.36249923706055, -24.649999618530273",-50.36249923706055,-24.649999618530273
1264,SDQI,"-47.0908317565918, -23.072221755981445",-47.0908317565918,-23.072221755981445
1265,SDQJ,"-43.23611068725586, -22.984722137451172",-43.23611068725586,-22.984722137451172
1266,SDQL,"-55.7344, -21.18861",-55.7344,-21.18861
1267,SDQM,"-47.77000045776367, -21.210277557373047",-47.77000045776367,-21.210277557373047
1268,SDQN,"-55.709999084472656, -20.898611068725586",-55.709999084472656,-20.898611068725586
1269,SDQO,"-46.84555435180664, -22.917221069335938",-46.84555435180664,-22.917221069335938
1270,SDQP,"-46.64500045776367, -23.571666717529297",-46.64500045776367,-23.571666717529297
1271,SDQQ,"-50.63890075683594, -22.286100387573242",-50.63890075683594,-22.286100387573242
1272,SDQR,"-49.576932, -28.398626",-49.576932,-28.398626
1273,SDQS,"-46.69166564941406, -23.601110458374023",-46.69166564941406,-23.601110458374023
1274,SIYT,"-46.679497, -23.581211",-46.679497,-23.581211
1275,SDQU,"-44.799444, -9.255833",-44.799444,-9.255833
1276,SDQV,"-58.51499938964844, -16.139999389648438",-58.51499938964844,-16.139999389648438
1277,SDQW,"-55.233611, -13.41",-55.233611,-13.41
1278,SIHP,"-48.805278, -23.867778",-48.805278,-23.867778
1279,SDQY,"-47.029720306396484, -22.890832901000977",-47.029720306396484,-22.890832901000977
1280,SDQZ,"-52.07472229, -15.397221565199999",-52.07472229,-15.397221565199999
1281,SDRA,"-48.05179977416992, -23.875600814819336",-48.05179977416992,-23.875600814819336
1282,SDRB,"-46.66233, -23.55881",-46.66233,-23.55881
1283,SDRC,"-50.8658332824707, -22.181943893432617",-50.8658332824707,-22.181943893432617
1284,SIOR,"-47.469993, -21.641922",-47.469993,-21.641922
1285,SDRE,"-43.44694519042969, -23.00777816772461",-43.44694519042969,-23.00777816772461
1286,SDRF,"-44.05083465576172, -22.746110916137695",-44.05083465576172,-22.746110916137695
1287,SDRG,"-49.15583419799805, -25.391666412353516",-49.15583419799805,-25.391666412353516
1288,SDRH,"-54.5261116027832, -20.844444274902344",-54.5261116027832,-20.844444274902344
1289,SDRI,"-43.177223205566406, -22.957778930664062",-43.177223205566406,-22.957778930664062
1290,SDRJ,"-43.209999084472656, -22.970277786254883",-43.209999084472656,-22.970277786254883
1291,SDRK,"-47.562113, -22.430104",-47.562113,-22.430104
1292,SDRL,"-46.692779541015625, -23.567222595214844",-46.692779541015625,-23.567222595214844
1293,SDRM,"-64.184722, 3.926666",-64.184722,3.926666
1294,SDRN,"-46.69972229003906, -23.569721221923828",-46.69972229003906,-23.569721221923828
1295,SDWC,"-54.711945, -16.465555",-54.711945,-16.465555
1296,SDRP,"-64.163487, 3.711387",-64.163487,3.711387
1297,SDRQ,"-39.08333206176758, -16.440555572509766",-39.08333206176758,-16.440555572509766
1298,SDRR,"-48.987401, -23.092501",-48.987401,-23.092501
1299,SDRS,"-44.4803009033, -22.4785003662",-44.4803009033,-22.4785003662
1300,SDRT,"-60.785073, 4.649381",-60.785073,4.649381
1301,SDRU,"-50.93611145019531, -21.693889617919922",-50.93611145019531,-21.693889617919922
1302,SDRV,"-46.70694351196289, -23.594444274902344",-46.70694351196289,-23.594444274902344
1303,SDRW,"-49.231667, -18.7775",-49.231667,-18.7775
1304,SWXP,"-57.019162, -17.97081",-57.019162,-17.97081
1305,SDRY,"-54.845279693603516, -22.952777862548828",-54.845279693603516,-22.952777862548828
1306,SDRZ,"-57.358055114746094, -21.68722152709961",-57.358055114746094,-21.68722152709961
1307,SDSA,"-55.716094, -18.035457",-55.716094,-18.035457
1308,SDSB,"-47.523887634277344, -19.995832443237305",-47.523887634277344,-19.995832443237305
1309,SDSC,"-47.903703, -21.875401",-47.903703,-21.875401
